status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01KS695P8GHC0NCMFE96C34KJ1,Elevated latency and error rates for ChatGPT 5.5 Thinking,2026-05-21T22:05:52.783Z,2026-05-21T23:22:55.658Z,https://status.openai.com/incidents/01KS695P8GHC0NCMFE96C34KJ1,0,0,ok
STATUS_01KS88SRADTWQW27NYRAXMBAQN,Increase in users hitting Codex rate limits,2026-05-22T16:37:50.54Z,2026-05-23T10:58:20.982Z,https://status.openai.com/incidents/01KS88SRADTWQW27NYRAXMBAQN,1,1,ok
STATUS_01KSJKR3EXTMKY0C287HS1BR8P,Login issues for FedRAMP users who recently logged out,2026-05-26T13:59:00Z,2026-05-27T06:01:00Z,https://status.openai.com/incidents/01KSJKR3EXTMKY0C287HS1BR8P,0,0,ok
STATUS_01KSJZHDY7E780KF9J2ZZ8M0GE,Users unable to access chat support on help center,2026-05-26T20:27:39.335Z,2026-05-26T20:30:52.401Z,https://status.openai.com/incidents/01KSJZHDY7E780KF9J2ZZ8M0GE,0,0,ok
STATUS_01KSMYEEWP0BZYANSMAXWJ3K59,Elevated Latency and Errors on API,2026-05-27T14:47:02.293Z,2026-05-27T20:06:53Z,https://status.openai.com/incidents/01KSMYEEWP0BZYANSMAXWJ3K59,0,0,ok
STATUS_01KSN40TAYQYGAKFA50HNH22YG,Android ChatGPT Business users having trouble switching workspaces,2026-05-27T16:24:26.717Z,2026-05-28T03:59:09.551Z,https://status.openai.com/incidents/01KSN40TAYQYGAKFA50HNH22YG,0,0,ok
STATUS_01KSN9ATSF1WCJ5ZTQSR1H9CC7,Codex Context Compaction Latency,2026-05-27T17:57:17.742Z,2026-05-28T06:59:35.318Z,https://status.openai.com/incidents/01KSN9ATSF1WCJ5ZTQSR1H9CC7,1,0,ok
STATUS_01KSPYYC11CCY3KKXEK4E03CBG,Subscription checkout failing,2026-05-28T05:27:00Z,2026-05-28T05:27:00Z,https://status.openai.com/incidents/01KSPYYC11CCY3KKXEK4E03CBG,0,0,ok
STATUS_01KSR5D08APXRBVK8S120N4PDX,Business plan subscription checkout issues on web and mobile web,2026-05-28T20:46:17.865Z,2026-05-29T01:29:51.128Z,https://status.openai.com/incidents/01KSR5D08APXRBVK8S120N4PDX,0,0,ok
STATUS_01KSRVH1TAV8Q47M91F6V4V6X0,Users may encounter issues logging in or creating an account,2026-05-29T03:12:59.209Z,2026-05-29T04:57:55.653Z,https://status.openai.com/incidents/01KSRVH1TAV8Q47M91F6V4V6X0,0,0,ok
STATUS_01KSRVTZVW4J7NZ3WXM74DG4KX,Users may encounter issues with conversations,2026-05-29T03:18:24.891Z,2026-05-29T04:58:14.055Z,https://status.openai.com/incidents/01KSRVTZVW4J7NZ3WXM74DG4KX,0,0,ok
STATUS_01KSSY9D28AM92BCDXRTS4CDKZ,Users May Experience Issues Accessing ChatGPT,2026-05-29T13:20:28.744Z,2026-05-29T13:28:52.132Z,https://status.openai.com/incidents/01KSSY9D28AM92BCDXRTS4CDKZ,0,0,ok
STATUS_01KT204M76EYZYJX7WYG1B2QPH,Decreased ChatGPT availability for Free users,2026-06-01T16:26:44.837Z,2026-06-01T17:28:52.577Z,https://status.openai.com/incidents/01KT204M76EYZYJX7WYG1B2QPH,0,0,ok
STATUS_01KT43GBSRNH7HG9YE93GPNG63,Guest users are experiencing elevated error rate when using ChatGPT conversations.,2026-06-02T12:04:04.023Z,2026-06-02T13:16:09.77Z,https://status.openai.com/incidents/01KT43GBSRNH7HG9YE93GPNG63,0,0,ok
STATUS_01KT5AMWGKRTMQW2BAHD70PC4X,Elevated errors for ChatGPT Pro,2026-06-02T23:28:06.674Z,2026-06-03T00:14:31.356Z,https://status.openai.com/incidents/01KT5AMWGKRTMQW2BAHD70PC4X,0,0,ok
