announcement_id,announced_at_utc,announcer,source_id,announcement_status,reset_type,reason_type,eligible_plans,quota_windows_affected,explicit_scope,policy_regime,adjudication_status
ANN_X_2075820987833274448,2026-07-11T05:54:25.045Z,thsottiaux,SRC_X_2075820987833274448,in_progress,hard_global,mixed_or_unclear,,,,post_banked_reset,accepted
ANN_X_2076365965915467978,2026-07-12T17:59:57.945Z,thsottiaux,SRC_X_2076365965915467978,in_progress,hard_global,milestone_celebration,,,,post_banked_reset,accepted
ANN_X_2076418567143408112,2026-07-12T21:28:59.055Z,thsottiaux,SRC_X_2076418567143408112,claimed_done,banked_credit,incident_compensation,,,,post_banked_reset,accepted
ANN_X_2076735790567338203,2026-07-13T18:29:31.013Z,thsottiaux,SRC_X_2076735790567338203,claimed_done,banked_credit,milestone_celebration,,,,post_banked_reset,accepted
ANN_X_2077114635308986427,2026-07-14T19:34:54.638Z,thsottiaux,SRC_X_2077114635308986427,in_progress,hard_global,milestone_celebration,,,,post_banked_reset,accepted
ANN_X_2077607697487188198,2026-07-16T04:14:09.822Z,thsottiaux,SRC_X_2077607697487188198,in_progress,hard_global,milestone_celebration,,,,post_banked_reset,accepted
ANN_X_2078320950488297917,2026-07-18T03:28:22.589Z,thsottiaux,SRC_X_2078320950488297917,claimed_done,hard_global,mixed_or_unclear,,,,post_banked_reset,accepted
ANN_X_2079609157934886975,2026-07-21T16:47:15.178Z,thsottiaux,SRC_X_2079609157934886975,in_progress,hard_global,milestone_celebration,,,,post_banked_reset,accepted
ANN_X_2081096447718723984,2026-07-25T19:17:12.695Z,thsottiaux,SRC_X_2081096447718723984,claimed_done,hard_global,incident_compensation,,,,post_banked_reset,accepted
ANN_X_2081940052154933696,2026-07-28T03:09:23.666Z,thsottiaux,SRC_X_2081940052154933696,claimed_done,hard_global,launch_promotion,,,,post_banked_reset,accepted
