tournament_score_id,tournament_forecast_id,scored_at_utc,label,event_count,brier,log_loss,rolling30_brier_skill,score_status,source_data_sha256
TS_RUN7_20260728T074256Z_M0_24H,TF_RUN7_20260728T074256Z_M0_24H,2026-07-29T12:00:00Z,1,1,0.76770976,2.08901102,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_RUN7_20260728T074256Z_M2_24H,TF_RUN7_20260728T074256Z_M2_24H,2026-07-29T12:00:00Z,1,1,0.43055877,1.06760726,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_RUN7_20260728T074256Z_M3_24H,TF_RUN7_20260728T074256Z_M3_24H,2026-07-29T12:00:00Z,1,1,0.69906906,1.80852015,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T084600Z_P_LLM_GPT5_CODEX_V1_24H,TF_ROUND_20260728T084600Z_P_LLM_GPT5_CODEX_V1_24H,2026-07-29T12:00:00Z,1,1,0.77440000,2.12026354,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T093000Z_P_LLM_DEEPSEEK_V4_deepseek-v4-pro_24H,TF_ROUND_20260728T093000Z_P_LLM_DEEPSEEK_V4_deepseek-v4-pro_24H,2026-07-29T12:00:00Z,1,1,0.36000000,0.91629073,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T093000Z_P_LLM_QWEN35_397B_qwen3.5-397b-a17b_24H,TF_ROUND_20260728T093000Z_P_LLM_QWEN35_397B_qwen3.5-397b-a17b_24H,2026-07-29T12:00:00Z,1,1,0.72250000,1.89711998,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T093000Z_P_LLM_KIMI_K25_kimi-k2.5_24H,TF_ROUND_20260728T093000Z_P_LLM_KIMI_K25_kimi-k2.5_24H,2026-07-29T12:00:00Z,1,1,0.84640000,2.52572864,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T093000Z_P_LLM_MINIMAX_M27_MiniMax-M2.7_24H,TF_ROUND_20260728T093000Z_P_LLM_MINIMAX_M27_MiniMax-M2.7_24H,2026-07-29T12:00:00Z,1,1,0.88360000,2.81341072,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
TS_ROUND_20260728T093800Z_P_LLM_STEP35_step-3.5-flash_24H,TF_ROUND_20260728T093800Z_P_LLM_STEP35_step-3.5-flash_24H,2026-07-29T12:00:00Z,1,1,0.64000000,1.60943791,,final_cluster_first,4f8fc056758fc460bb96466160eab151adffd78540a202668acfa84e02d3cc37
